screen_width: 1920 screen_height: 937
target_point: 2 target_x: 960 target_y: 38.4
x: 860.7564740416508 y: 577.7335102504462 timestamp: 1658784243016
x: 854.7684343568219 y: 577.6481535643165 timestamp: 1658784243091
x: 843.2984071020851 y: 549.3333595755266 timestamp: 1658784243165
x: 835.0967302607194 y: 581.4934196378557 timestamp: 1658784243238
x: 829.0460361043662 y: 611.2664366412422 timestamp: 1658784243311
x: 804.4877672744523 y: 615.7629255808607 timestamp: 1658784243386
x: 798.5132081131868 y: 607.3067842640248 timestamp: 1658784243460
x: 803.1788747699667 y: 610.9905344754841 timestamp: 1658784243533
x: 829.1636971121432 y: 597.8326983219633 timestamp: 1658784243612
x: 833.8093503322826 y: 609.9449851017725 timestamp: 1658784243685
x: 849.8805850004937 y: 624.250260983665 timestamp: 1658784243761
x: 869.2917636101702 y: 628.7653993694876 timestamp: 1658784243836
x: 876.8763828647534 y: 594.4434219973241 timestamp: 1658784243913
x: 873.8595392638662 y: 568.2328193134899 timestamp: 1658784243986
x: 877.753266561809 y: 576.5621318438581 timestamp: 1658784244062
x: 897.3485411308118 y: 585.3849599640573 timestamp: 1658784244135
x: 875.5949273140499 y: 600.4403349368646 timestamp: 1658784244210
x: 875.4862350116774 y: 611.1879195944452 timestamp: 1658784244284
x: 885.6179779630119 y: 621.1528663106011 timestamp: 1658784244353
x: 863.4026861227687 y: 614.3382881414302 timestamp: 1658784244428
x: 854.6408613066347 y: 584.2481196409011 timestamp: 1658784244504
x: 853.8180682190325 y: 540.8415786853215 timestamp: 1658784244575
x: 832.1368893057231 y: 541.107929322171 timestamp: 1658784244649
x: 823.0657868526793 y: 536.5331406871094 timestamp: 1658784244723
x: 799.6635852913065 y: 522.4591200825074 timestamp: 1658784244799
x: 777.761131718323 y: 520.6799338857155 timestamp: 1658784244877
x: 751.1562004489523 y: 500.423374231963 timestamp: 1658784244968
x: 737.7986832400345 y: 507.01721008855225 timestamp: 1658784245050
x: 741.7373961019522 y: 507.3470108012357 timestamp: 1658784245129
x: 747.3035937318756 y: 509.93976457372366 timestamp: 1658784245213
x: 732.7697706976311 y: 548.8861290327774 timestamp: 1658784245293
x: 724.4366440241672 y: 578.2913463027903 timestamp: 1658784245372
x: 741.3784059744245 y: 562.9965062007137 timestamp: 1658784245454
x: 754.4087525736305 y: 552.4279578494518 timestamp: 1658784245555
x: 768.3893465752283 y: 543.3641796554153 timestamp: 1658784245636
x: 778.6864626715258 y: 560.412480498252 timestamp: 1658784245720
x: 779.2971885717336 y: 545.6507417688507 timestamp: 1658784245801
x: 775.691496212379 y: 512.9727760845619 timestamp: 1658784245883
x: 793.9088064467385 y: 483.6715926956629 timestamp: 1658784245966
x: 810.6124406440523 y: 491.02615982985253 timestamp: 1658784246050
x: 832.8013290514988 y: 511.1025313317431 timestamp: 1658784246129
x: 832.2091304855658 y: 534.1273447474399 timestamp: 1658784246211
x: 848.6098382850801 y: 555.8065877159405 timestamp: 1658784246289
x: 862.8505140136105 y: 543.1948385928202 timestamp: 1658784246371
x: 866.1919244424862 y: 574.8969382217458 timestamp: 1658784246451
x: 862.7825316210905 y: 619.9558895083449 timestamp: 1658784246531
x: 873.8845966460627 y: 639.7460951374915 timestamp: 1658784246613
x: 875.534149369956 y: 667.7619116402567 timestamp: 1658784246695
x: 866.1906963397465 y: 665.7390871013248 timestamp: 1658784246777
x: 837.6500405039379 y: 681.642125081582 timestamp: 1658784246859
x: 809.0209432367061 y: 692.1438083529516 timestamp: 1658784246939
x: 773.53837672717 y: 671.8311534437448 timestamp: 1658784247022
x: 778.238538002028 y: 657.0419206362615 timestamp: 1658784247102
x: 736.736743097636 y: 657.4567337463321 timestamp: 1658784247188
x: 723.7642765548397 y: 648.6719386457793 timestamp: 1658784247266
x: 716.5122950207924 y: 644.1750057547433 timestamp: 1658784247347
x: 711.2487241315415 y: 624.4311172604852 timestamp: 1658784247429
x: 694.4961674017575 y: 604.1364675165156 timestamp: 1658784247509
x: 702.6742440257378 y: 610.9438673307502 timestamp: 1658784247590
x: 681.8926381057324 y: 600.5292194893356 timestamp: 1658784247669
x: 664.9451262616049 y: 593.3353530234824 timestamp: 1658784247753
x: 688.6254330265367 y: 601.5654566797756 timestamp: 1658784247832
x: 690.4170303231909 y: 587.6239746634484 timestamp: 1658784247914
x: 709.646975343707 y: 606.6999815414079 timestamp: 1658784247994
x: 709.5407682001637 y: 583.6285570425966 timestamp: 1658784248073
x: 721.9006022698093 y: 611.747576020311 timestamp: 1658784248155
x: 732.0120909598859 y: 623.2991379952354 timestamp: 1658784248233
x: 726.112165922323 y: 599.0196865034547 timestamp: 1658784248313
x: 729.7390964892078 y: 570.5314683384261 timestamp: 1658784248391
x: 729.0403662357725 y: 573.4636375578219 timestamp: 1658784248469
x: 721.2184985246618 y: 586.546441681492 timestamp: 1658784248548
x: 720.9874907520766 y: 621.1970633073173 timestamp: 1658784248635
x: 751.4394348382272 y: 646.9272185903777 timestamp: 1658784248714
x: 740.1868197617678 y: 670.7387959162542 timestamp: 1658784248797
x: 741.6440083314849 y: 680.2457635110949 timestamp: 1658784248879
x: 764.3779504660764 y: 699.555909155789 timestamp: 1658784248961
x: 746.8434973681419 y: 714.8997774433125 timestamp: 1658784249043
x: 780.049069632783 y: 726.1838677555551 timestamp: 1658784249126
x: 785.5808048214735 y: 742.0577597761203 timestamp: 1658784249207
x: 811.0240221851984 y: 732.0035954726034 timestamp: 1658784249287
x: 788.2390020931813 y: 713.9703143801758 timestamp: 1658784249367
x: 777.2631116766788 y: 690.0558021032105 timestamp: 1658784249452
x: 782.3636522132956 y: 677.3013653048143 timestamp: 1658784249531
x: 796.9405911159877 y: 682.6337677786834 timestamp: 1658784249615
x: 784.4499578921361 y: 690.2170772506681 timestamp: 1658784249695
x: 757.6442703183158 y: 668.7138646871248 timestamp: 1658784249778
x: 780.7220015979537 y: 682.2836847321303 timestamp: 1658784249865
x: 811.0933505071426 y: 629.7291022687477 timestamp: 1658784249941
x: 840.4261112994452 y: 647.8888086101466 timestamp: 1658784250016
x: 850.8487502839556 y: 587.8087821667887 timestamp: 1658784250091
x: 858.6684031942341 y: 559.9690141853811 timestamp: 1658784250164
x: 856.6663548683207 y: 590.5813920597915 timestamp: 1658784250240
x: 885.0787030271214 y: 591.0517967107938 timestamp: 1658784250313
x: 894.7802550615065 y: 624.0171302810303 timestamp: 1658784250387
x: 906.5435399102358 y: 642.5854776696891 timestamp: 1658784250460
x: 920.8613082297227 y: 641.7001287570735 timestamp: 1658784250537
x: 922.4114147653731 y: 607.9858777980576 timestamp: 1658784250610
x: 903.8868355619594 y: 618.9151937462142 timestamp: 1658784250683
x: 910.0763816415595 y: 628.350616659051 timestamp: 1658784250756
x: 915.245651931708 y: 635.746095194017 timestamp: 1658784250827
x: 917.1805330105966 y: 620.0236872739252 timestamp: 1658784250901
x: 901.1932973063001 y: 608.6067261141458 timestamp: 1658784250979
x: 857.992684673347 y: 623.6463948665202 timestamp: 1658784251055
x: 832.843372456582 y: 633.6047441657234 timestamp: 1658784251128
x: 801.0309016767253 y: 626.1168126229368 timestamp: 1658784251204
x: 771.7472259250857 y: 609.1241516594039 timestamp: 1658784251278
x: 772.7585051712014 y: 575.3038452444003 timestamp: 1658784251351
x: 791.7076736709944 y: 559.136582440208 timestamp: 1658784251426
x: 796.5941525273713 y: 570.2833093312855 timestamp: 1658784251500
x: 782.7210215097813 y: 578.3653385349755 timestamp: 1658784251573
x: 746.9364278689276 y: 579.5818692956768 timestamp: 1658784251648
x: 785.3190801455164 y: 601.9499223450207 timestamp: 1658784251721
x: 775.4836682245592 y: 614.998174979253 timestamp: 1658784251795
x: 786.6355403579582 y: 627.2875899306426 timestamp: 1658784251869
x: 784.5875634749891 y: 617.7897554683921 timestamp: 1658784251960
x: 771.0525255942816 y: 608.1934855213582 timestamp: 1658784252034
x: 748.2736553077499 y: 580.1637633423684 timestamp: 1658784252112
x: 742.1698060014278 y: 596.8606107552432 timestamp: 1658784252188
x: 754.4865251961527 y: 598.6671083398601 timestamp: 1658784252262
x: 764.1301875177074 y: 599.767971159283 timestamp: 1658784252336
x: 795.520953744166 y: 604.1508820416714 timestamp: 1658784252410
x: 794.9195269656544 y: 598.9972220757609 timestamp: 1658784252484
x: 796.6599976560183 y: 606.8595326897422 timestamp: 1658784252562
x: 804.6444045905664 y: 631.3785995618086 timestamp: 1658784252636
x: 801.9872472835501 y: 589.5681780919753 timestamp: 1658784252709
x: 853.2679281855181 y: 561.1158755172434 timestamp: 1658784252787
x: 866.4873260517991 y: 541.1383700321443 timestamp: 1658784252862
x: 892.3274632930583 y: 540.5815458502589 timestamp: 1658784252934
x: 891.4121419708339 y: 546.8169555714197 timestamp: 1658784253009
x: 891.0460714810603 y: 558.429967441494 timestamp: 1658784253082
x: 912.3155560862745 y: 575.4320634130968 timestamp: 1658784253154
x: 926.252193782552 y: 554.8535277712622 timestamp: 1658784253227
x: 947.8804598297276 y: 544.9184497245982 timestamp: 1658784253298
