screen_width: 1920 screen_height: 937
target_point: 1 target_x: 38.4 target_y: 38.4
x: 884.728817288319 y: 283.0239519520083 timestamp: 1658783804934
x: 887.2810548979053 y: 293.24438604091847 timestamp: 1658783805012
x: 920.2674658768769 y: 324.6122551426328 timestamp: 1658783805090
x: 912.7959274237126 y: 339.95561920419703 timestamp: 1658783805165
x: 924.7608235100795 y: 354.9880466489742 timestamp: 1658783805238
x: 949.4889814363326 y: 363.5321246254941 timestamp: 1658783805311
x: 954.2573275379707 y: 333.1532709022791 timestamp: 1658783805390
x: 949.2733262716378 y: 362.8289884543113 timestamp: 1658783805481
x: 954.6012713200172 y: 350.4883406100848 timestamp: 1658783805557
x: 926.738827367715 y: 349.32215486871405 timestamp: 1658783805633
x: 930.0537249292059 y: 350.89144795873 timestamp: 1658783805707
x: 906.5004906455562 y: 360.61202430912755 timestamp: 1658783805780
x: 887.2613094405581 y: 356.3350003483435 timestamp: 1658783805861
x: 884.6513604383726 y: 375.1020128132403 timestamp: 1658783805937
x: 857.1841020953082 y: 379.2999574278898 timestamp: 1658783806010
x: 813.7648036865893 y: 364.8119948554261 timestamp: 1658783806085
x: 815.5233566027292 y: 395.69148891711154 timestamp: 1658783806160
x: 830.3620942508181 y: 396.3636904134252 timestamp: 1658783806236
x: 835.9000381724438 y: 426.34958828068096 timestamp: 1658783806310
x: 745.1436124247416 y: 396.8087531854601 timestamp: 1658783806389
x: 743.2149112706451 y: 380.89442299086824 timestamp: 1658783806464
x: 775.8376014711528 y: 350.7822424889915 timestamp: 1658783806542
x: 805.0965362596327 y: 376.7114985142109 timestamp: 1658783806622
x: 823.3444986456761 y: 365.733656837433 timestamp: 1658783806698
x: 836.0401106695233 y: 369.45762143087904 timestamp: 1658783806773
x: 864.3341918009037 y: 367.5487586486785 timestamp: 1658783806850
x: 879.243879557088 y: 328.57196384433246 timestamp: 1658783806925
x: 920.5458361437114 y: 302.3378882953091 timestamp: 1658783806997
x: 908.4955545866544 y: 317.1567210289585 timestamp: 1658783807072
x: 847.3785155875878 y: 304.6529108294994 timestamp: 1658783807145
x: 867.1946242967209 y: 284.99852417141375 timestamp: 1658783807220
x: 875.5972749728095 y: 307.27353425186595 timestamp: 1658783807296
x: 885.4487137978008 y: 334.7855373523009 timestamp: 1658783807372
x: 928.3459033075915 y: 326.70215331308316 timestamp: 1658783807449
x: 934.0410765589323 y: 310.8566785514246 timestamp: 1658783807526
